area,fold_change
Frontal pole cerebral cortex,1.3584499461786868
Primary motor area,1.0241970963484381
Secondary motor area,1.6782964388835417
Primary somatosensory area,1.5031294873340713
Supplemental somatosensory area,1.513094296511117
Visceral area,2.7071471835251355
Dorsal auditory area,2.3171796049609554
Primary auditory area,1.9057335824112658
Posterior auditory area,2.522527794031597
Ventral auditory area,2.3467230443974634
Anterolateral visual area,4.399808245445829
Anteromedial visual area,5.9973333333333345
Lateral visual area,6.232155560825232
Primary visual area,7.270679070944877
Posterolateral visual area,7.6587570621468934
Laterointermediate area,
Postrhinal area,
Anterior cingulate area,3.087028284192363
Prelimbic area,2.7330570453437346
Infralimbic area,1.4738058551617874
Orbital area,2.2332205523644664
Agranular insular area,2.910778683050621
Retrosplenial area,4.052471151752667
Anterior area,
Rostrolateral visual area,3.372279495990837
Perirhinal area,3.004878048780488
Ectorhinal area,
Main olfactory bulb,3.0238406316292266
Accessory olfactory bulb,2.168681983071342
Anterior olfactory nucleus,5.684529828109201
Taenia tecta,4.702773613193403
Dorsal peduncular area,2.3542976939203357
Piriform area,3.799865622809067
Nucleus of the lateral olfactory tract,2.370331950207469
Cortical amygdalar area,4.34625668449198
Piriform-amygdalar area,2.8785276073619634
Postpiriform transition area,2.0180351210251546
Ammon's horn,1.5240744186046513
Dentate gyrus,1.6285421162486293
Fasciola cinerea,1.171875
Induseum griseum,2.8095238095238098
Entorhinal area,3.03259692440979
Parasubiculum,1.8070175438596487
Postsubiculum,2.7089947089947097
Presubiculum,2.1138581652569943
Subiculum,2.192949280745593
Prosubiculum,
Hippocampo-amygdalar transition area,
Area prostriata,
Claustrum,4.004787234042554
Endopiriform nucleus,3.4543848580441634
Lateral amygdalar nucleus,2.2651026392961877
Basolateral amygdalar nucleus,1.8958983968353107
Basomedial amygdalar nucleus,2.969571944301186
Posterior amygdalar nucleus,1.5890410958904109
Caudoputamen,1.0606472115862495
Nucleus accumbens,1.561160058737152
Fundus of striatum,1.6031357177853995
Olfactory tubercle,1.5767978691920683
Lateral strip of striatum,
Lateral septal nucleus,2.5262968299711814
Septofimbrial nucleus,2.0363321799307954
Septohippocampal nucleus,1.5263157894736843
Anterior amygdalar area,1.4322333529758398
Bed nucleus of the accessory olfactory tract,3.6063348416289593
Central amygdalar nucleus,1.4997611084567608
Intercalated amygdalar nucleus,2.7172413793103445
Medial amygdalar nucleus,2.4173131890567574
Globus pallidus external segment,1.1844660194174759
Globus pallidus internal segment,1.4451670115282294
Substantia innominata,1.4627450980392156
Magnocellular nucleus,0.8375778155065083
Medial septal complex,1.775623268698061
Triangular nucleus of septum,1.83223249669749
Bed nuclei of the stria terminalis,1.9169402026544886
Bed nucleus of the anterior commissure,3.217391304347826
Ventral anterior-lateral complex of the thalamus,0.6607142857142858
Ventral medial nucleus of the thalamus,1.5395683453237405
Ventral posterior complex of the thalamus,0.613473555860387
Posterior triangular thalamic nucleus,
Subparafascicular nucleus,3.0919203747072603
Subparafascicular area,3.5333333333333337
Peripeduncular nucleus,1.4780487804878046
Medial geniculate complex,0.9775929775929771
Dorsal part of the lateral geniculate complex,0.670805330903292
Lateral posterior nucleus of the thalamus,1.1816950464396287
Posterior complex of the thalamus,0.8126219002507664
Posterior limiting nucleus of the thalamus,2.4211576846307383
Suprageniculate nucleus,0.5963855421686748
Ethmoid nucleus of the thalamus,
Retroethmoid nucleus,
Anteroventral nucleus of thalamus,0.856740914419695
Anteromedial nucleus,2.943755958055291
Anterodorsal nucleus,0.6550387596899224
Interanteromedial nucleus of the thalamus,5.46938775510204
Interanterodorsal nucleus of the thalamus,2.8102678571428577
Lateral dorsal nucleus of thalamus,1.4284372904091214
Intermediodorsal nucleus of the thalamus,3.740000000000001
Mediodorsal nucleus of thalamus,2.0337364735837054
Submedial nucleus of the thalamus,1.726546906187625
Perireunensis nucleus,2.823529411764706
Paraventricular nucleus of the thalamus,2.15567612687813
Parataenial nucleus,3.2099776619508567
Nucleus of reuniens,3.824060150375939
Xiphoid thalamic nucleus,
Rhomboid nucleus,3.7882352941176474
Central medial nucleus of the thalamus,3.885375494071145
Paracentral nucleus,2.240534521158129
Central lateral nucleus of the thalamus,1.9016587677725119
Parafascicular nucleus,2.6138962181178536
Posterior intralaminar thalamic nucleus,
Reticular nucleus of the thalamus,2.1061801935964257
Intergeniculate leaflet of the lateral geniculate complex,1.7183908045977008
Intermediate geniculate nucleus,
Ventral part of the lateral geniculate complex,1.4881838782777599
Subgeniculate nucleus,1.5853658536585364
Medial habenula,1.3123011664899258
Lateral habenula,2.9058641975308643
Pineal body,
Supraoptic nucleus,1.529100529100529
Nucleus circularis,
Paraventricular hypothalamic nucleus,1.616677874915938
Arcuate hypothalamic nucleus,1.591259640102828
Anterodorsal preoptic nucleus,2.7438016528925626
Anterior hypothalamic area,
Anteroventral preoptic nucleus,1.5410334346504562
Anteroventral periventricular nucleus,1.5205479452054795
Dorsomedial nucleus of the hypothalamus,2.9882739212007507
Median preoptic nucleus,1.369230769230769
Medial preoptic area,1.9389007470651018
Vascular organ of the lamina terminalis,1.0512820512820513
Posterodorsal preoptic nucleus,1.4999999999999998
Parastrial nucleus,2.443708609271523
Suprachiasmatic preoptic nucleus,
Periventricular hypothalamic nucleus posterior part,2.4059829059829063
Periventricular hypothalamic nucleus preoptic part,0.955032119914347
Subparaventricular zone,1.7149187592319055
Suprachiasmatic nucleus,0.8104956268221574
Subfornical organ,0.358974358974359
Ventromedial preoptic nucleus,
Ventrolateral preoptic nucleus,1.5340909090909092
Anterior hypothalamic nucleus,1.9877704609595481
Lateral mammillary nucleus,0.9609756097560977
Medial mammillary nucleus,1.1949008498583567
Supramammillary nucleus,2.700192184497117
Tuberomammillary nucleus,1.7666666666666664
Medial preoptic nucleus,1.30375
Dorsal premammillary nucleus,2.946428571428572
Ventral premammillary nucleus,3.357142857142857
Paraventricular hypothalamic nucleus descending division,1.8370927318295738
Ventromedial hypothalamic nucleus,1.8491228070175436
Posterior hypothalamic nucleus,2.4421930870083433
Lateral hypothalamic area,2.206766416551969
Lateral preoptic area,2.2553073657005727
Preparasubthalamic nucleus,2.7499999999999996
Parasubthalamic nucleus,2.1463414634146343
Perifornical nucleus,
Retrochiasmatic area,1.3074935400516798
Subthalamic nucleus,1.3819368879216538
Tuberal nucleus,1.6353503184713376
Zona incerta,2.633349665196799
Median eminence,
Superior colliculus sensory related,2.8263053381614305
Inferior colliculus,2.8230765575250674
Nucleus of the brachium of the inferior colliculus,2.2529585798816565
Nucleus sagulum,1.9386281588447651
Parabigeminal nucleus,1.3874788494077832
Midbrain trigeminal nucleus,1.6456953642384107
Subcommissural organ,
Substantia nigra reticular part,1.615922718187875
Ventral tegmental area,2.135790077430456
Paranigral nucleus,
Midbrain reticular nucleus retrorubral area,1.4982355535950598
Midbrain reticular nucleus,2.1285518115559308
Superior colliculus motor related,2.6632244467860913
Periaqueductal gray,2.456142313716715
Pretectal region,1.9370887787291569
Intercollicular nucleus,
Cuneiform nucleus,1.8946058091286309
Red nucleus,1.1120457604306864
Oculomotor nucleus,3.469879518072289
Medial accesory oculomotor nucleus,
Edinger-Westphal nucleus,3.3636363636363633
Trochlear nucleus,3.869565217391305
Paratrochlear nucleus,
Ventral tegmental nucleus,1.379661016949153
Anterior tegmental nucleus,1.3030303030303032
Lateral terminal nucleus of the accessory optic tract,1.2584269662921344
Dorsal terminal nucleus of the accessory optic tract,
Medial terminal nucleus of the accessory optic tract,
Substantia nigra lateral part,
Substantia nigra compact part,1.7186406796601699
Pedunculopontine nucleus,1.4107932077227265
Interfascicular nucleus raphe,1.319693094629156
Interpeduncular nucleus,1.100909484625379
Rostral linear nucleus raphe,2.0
Central linear nucleus raphe,1.329752953813104
Dorsal nucleus raphe,4.048507462686567
